symbol,last_date,last_mode,H,L,close
AAVE,2025-10-10,high,385.99,,238.01
ADA,2025-10-10,high,1.0193,,0.6548
ALGO,2025-10-10,wait,0.336,,0.1901
APT,2025-10-10,wait,15.33,,3.813
ARB,2025-10-10,wait,0.6246,,0.3197
ASTER,2025-10-10,wait,2.19,,1.322
ATOM,2025-10-10,wait,10.678,,3.227
AVAX,2025-10-10,high,36.16,,22.94
BCH,2025-10-10,high,651.0,,523.6
BFUSD,2025-10-10,high,1.0019,,0.9997
BNB,2025-10-10,high,1349.99,,1171.6
BNSOL,2025-10-10,high,271.8,,195.7
BONK,2025-10-10,wait,4.075e-05,,1.422e-05
BTC,2025-10-10,high,126199.63,,112018.92
DOGE,2025-10-10,high,0.30684,,0.19225
DOT,2025-10-10,wait,11.649,,3.124
ENA,2025-10-10,wait,0.8727,,0.3956
ETC,2025-10-10,wait,25.93,,15.25
ETH,2025-10-10,high,4956.78,,3814.22
FDUSD,2025-10-10,high,1.2026,,0.9974
FET,2025-10-10,wait,0.991,,0.396
FIL,2025-10-10,wait,8.424,,1.652
HBAR,2025-10-10,wait,0.305,,0.17446
ICP,2025-10-10,wait,15.577,,3.285
JUP,2025-10-10,wait,0.69,,0.3369
LINK,2025-10-10,high,27.87,,17.88
LTC,2025-10-10,high,135.99,,96.78
NEAR,2025-10-10,wait,8.244,,2.374
NEXO,2025-10-10,wait,1.59,,1.187
ONDO,2025-10-10,wait,1.144,,0.7496
PAXG,2025-10-10,high,4079.48,,3981.54
PENGU,2025-10-10,wait,0.046608,,0.02267
PEPE,2025-10-10,wait,1.632e-05,,7.04e-06
POL,2025-10-10,wait,0.7685,,0.1924
PUMP,2025-10-10,wait,0.00898,,0.004012
QNT,2025-10-10,high,135.58,,91.07
RENDER,2025-10-10,wait,5.522,,2.445
SEI,2025-10-10,wait,0.3903,,0.2175
SHIB,2025-10-10,wait,3.343e-05,,1.028e-05
SKY,2025-10-10,high,0.07839,,0.05837
SOL,2025-10-10,high,253.51,,182.97
SUI,2025-10-10,wait,4.2989,,2.6587
TAO,2025-10-10,wait,500.0,,305.2
TON,2025-10-10,wait,7.269,,2.193
TRUMP,2025-10-10,wait,16.44,,6.03
TRX,2025-10-10,wait,0.45,,0.3195
UNI,2025-10-10,wait,12.3,,6.066
USD1,2025-10-10,high,1.02,,0.999
VET,2025-10-10,wait,0.08,,0.01733
WLD,2025-10-10,wait,2.211,,0.928
XLM,2025-10-10,high,0.5206,,0.329
XMR,2024-02-19,wait,289.5,,118.7
XRP,2025-10-10,high,3.6607,,2.4747
ZEC,2025-10-10,high,290.5,,263.39
