date,open,high,low,close,mode,L,H,cand_H,thr56,event
2025-09-09,1.0,1.01,1.0,1.0008,none,1.0,,,,
2025-09-10,1.0008,1.0008,1.0006,1.0007,none,1.0,,,,
2025-09-11,1.0007,1.0009,1.0006,1.0008,none,1.0,,,,
2025-09-12,1.0007,1.0009,1.0005,1.0006,none,1.0,,,,
2025-09-13,1.0006,1.0008,1.0005,1.0008,none,1.0,,,,
2025-09-14,1.0007,1.0008,1.0005,1.0007,none,1.0,,,,
2025-09-15,1.0007,1.0009,1.0006,1.0006,none,1.0,,,,
2025-09-16,1.0006,1.0008,1.0006,1.0008,none,1.0,,,,
2025-09-17,1.0008,1.0009,1.0007,1.0007,none,1.0,,,,
2025-09-18,1.0007,1.0009,1.0006,1.0008,none,1.0,,,,
2025-09-19,1.0008,1.0009,1.0006,1.0006,none,1.0,,,,
2025-09-20,1.0006,1.0008,1.0005,1.0006,none,1.0,,,,
2025-09-21,1.0005,1.0006,0.9886,0.9995,none,0.9886,,,,
2025-09-22,0.9995,1.0015,0.9965,1.0007,none,0.9886,,,,
2025-09-23,1.0008,1.0013,1.0003,1.0008,none,0.9886,,,,
2025-09-24,1.0008,1.0011,1.0003,1.0007,none,0.9886,,,,
2025-09-25,1.0006,1.0007,0.9983,0.9991,none,0.9886,,,,
2025-09-26,0.9991,1.0003,0.999,1.0,none,0.9886,,,,
2025-09-27,1.0,1.0003,0.9996,1.0,none,0.9886,,,,
2025-09-28,1.0,1.0009,0.9998,1.0007,none,0.9886,,,,
2025-09-29,1.0007,1.0018,1.0005,1.0007,none,0.9886,,,,
2025-09-30,1.0008,1.001,1.0006,1.0008,none,0.9886,,,,
2025-10-01,1.0008,1.0009,1.0006,1.0008,none,0.9886,,,,
2025-10-02,1.0008,1.0008,1.0003,1.0006,none,0.9886,,,,
2025-10-03,1.0006,1.0006,0.9993,0.9997,none,0.9886,,,,
2025-10-04,0.9998,1.0004,0.9994,1.0003,none,0.9886,,,,
2025-10-05,1.0003,1.0004,0.9994,0.9997,none,0.9886,,,,
2025-10-06,0.9996,1.0002,0.9992,0.9997,none,0.9886,,,,
2025-10-07,0.9997,0.9999,0.9994,0.9996,none,0.9886,,,,
