date,symbol,action,cand_H,level,qty,price,note,pnl
2021-02-23,BCH,LADDER_CREATE,773.84,,,,,
2021-02-23,BCH,BUY,,0.44,1.0,433.35040000000004,FILL,
2021-04-14,BCH,SELL,,0.44,1.0,814.85,CYCLE_RESET,381.4996
2021-05-19,BCH,LADDER_CREATE,1650.0,,,,,
2021-05-19,BCH,BUY,,0.44,1.0,924.0000000000001,FILL,
2021-05-19,BCH,BUY,,0.48,1.0,858.0,FILL,
2021-05-19,BCH,BUY,,0.54,1.0,758.9999999999999,FILL,
2021-05-19,BCH,BUY,,0.59,1.0,676.5,FILL,
2021-05-19,BCH,BUY,,0.65,1.0,577.5,FILL,
2021-06-21,BCH,BUY,,0.72,1.0,462.00000000000006,FILL,
2021-09-05,BCH,SELL,,0.44,1.0,764.5,CYCLE_RESET,-159.5000000000001
2021-09-05,BCH,SELL,,0.48,1.0,764.5,CYCLE_RESET,-93.5
2021-09-05,BCH,SELL,,0.54,1.0,764.5,CYCLE_RESET,5.500000000000114
2021-09-05,BCH,SELL,,0.59,1.0,764.5,CYCLE_RESET,88.0
2021-09-05,BCH,SELL,,0.65,1.0,764.5,CYCLE_RESET,187.0
2021-09-05,BCH,SELL,,0.72,1.0,764.5,CYCLE_RESET,302.49999999999994
2021-12-04,BCH,LADDER_CREATE,803.6,,,,,
2021-12-04,BCH,BUY,,0.44,1.0,450.0160000000001,FILL,
2021-12-04,BCH,BUY,,0.48,1.0,417.872,FILL,
2021-12-04,BCH,BUY,,0.54,1.0,369.656,FILL,
2022-01-21,BCH,BUY,,0.59,1.0,329.47600000000006,FILL,
2022-01-22,BCH,BUY,,0.65,1.0,281.26,FILL,
2022-05-09,BCH,BUY,,0.72,1.0,225.00800000000004,FILL,
2022-05-12,BCH,BUY,,0.79,1.0,168.75599999999997,FILL,
2023-06-23,BCH,SELL,,0.44,1.0,182.2,CYCLE_RESET,-267.8160000000001
2023-06-23,BCH,SELL,,0.48,1.0,182.2,CYCLE_RESET,-235.67200000000003
2023-06-23,BCH,SELL,,0.54,1.0,182.2,CYCLE_RESET,-187.45600000000002
2023-06-23,BCH,SELL,,0.59,1.0,182.2,CYCLE_RESET,-147.27600000000007
2023-06-23,BCH,SELL,,0.65,1.0,182.2,CYCLE_RESET,-99.06
2023-06-23,BCH,SELL,,0.72,1.0,182.2,CYCLE_RESET,-42.80800000000005
2023-06-23,BCH,SELL,,0.79,1.0,182.2,CYCLE_RESET,13.444000000000017
2023-08-17,BCH,LADDER_CREATE,329.0,,,,,
2023-08-17,BCH,BUY,,0.44,1.0,184.24,FILL,
2023-08-17,BCH,BUY,,0.48,1.0,171.08,FILL,
2024-03-02,BCH,SELL,,0.44,1.0,501.1,CYCLE_RESET,316.86
2024-03-02,BCH,SELL,,0.48,1.0,501.1,CYCLE_RESET,330.02
2024-05-01,BCH,LADDER_CREATE,719.5,,,,,
2024-05-01,BCH,BUY,,0.44,1.0,402.92,FILL,
2024-06-18,BCH,BUY,,0.48,1.0,374.14,FILL,
2024-07-04,BCH,BUY,,0.54,1.0,330.96999999999997,FILL,
2024-07-05,BCH,BUY,,0.59,1.0,294.995,FILL,
2024-11-23,BCH,SELL,,0.44,1.0,510.1,CYCLE_RESET,107.18
2024-11-23,BCH,SELL,,0.48,1.0,510.1,CYCLE_RESET,135.96000000000004
2024-11-23,BCH,SELL,,0.54,1.0,510.1,CYCLE_RESET,179.13000000000005
2024-11-23,BCH,SELL,,0.59,1.0,510.1,CYCLE_RESET,215.10500000000002
2025-02-02,BCH,LADDER_CREATE,640.0,,,,,
2025-02-02,BCH,BUY,,0.44,1.0,358.40000000000003,FILL,
2025-02-03,BCH,BUY,,0.48,1.0,332.8,FILL,
2025-02-03,BCH,BUY,,0.54,1.0,294.4,FILL,
2025-04-07,BCH,BUY,,0.59,1.0,262.40000000000003,FILL,
2025-06-19,BCH,SELL,,0.44,1.0,497.1,CYCLE_RESET,138.7
2025-06-19,BCH,SELL,,0.48,1.0,497.1,CYCLE_RESET,164.3
2025-06-19,BCH,SELL,,0.54,1.0,497.1,CYCLE_RESET,202.70000000000005
2025-06-19,BCH,SELL,,0.59,1.0,497.1,CYCLE_RESET,234.7
